id,district_region_name,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
010000,Mitte,26005,289,148,1930,494,593,11942,152,1239,1330,434,87,36,1539,332,820,4472
011001,Tiergarten Süd,38738,527,337,3527,981,885,18220,117,1529,1427,512,59,37,1683,212,1068,7208
011002,Regierungsviertel,86715,507,166,4553,952,1117,45577,103,1852,3839,538,31,21,3735,1438,807,8608
011003,Alexanderplatz,42672,401,210,2601,752,684,21235,169,1375,2147,486,89,34,2294,686,938,5861
011004,Brunnenstraße Süd,15983,124,55,640,113,233,8235,204,836,1788,462,22,4,1363,560,265,2758
012005,Moabit West,16357,175,73,1240,341,347,6006,166,1081,906,268,79,34,1058,184,468,2734
012006,Moabit Ost,28979,150,83,1635,431,487,10532,117,1134,1176,272,114,53,1321,225,1059,3511
013007,Osloer Straße,22418,299,140,2025,512,582,10271,81,1089,922,545,89,32,1218,124,690,4359
013008,Brunnenstraße Nord,20044,298,130,1701,455,590,8926,185,1089,1020,488,127,52,1481,317,780,4227
014009,Parkviertel,16046,206,106,1449,349,529,7706,134,1049,813,407,60,18,1031,113,425,3792
014010,Wedding Zentrum,18863,237,123,1846,513,632,6829,110,866,772,466,60,31,1185,259,893,4181
019900,"Bezirk (Mi), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
020000,Friedrichshain-Kreuzberg,22646,342,237,1735,553,441,10484,177,1131,1578,329,114,40,1833,370,1107,4035
021001,Südliche  Friedrichstadt,27216,331,203,1754,537,564,10689,125,2022,1182,406,103,33,1473,261,519,3971
022002,Tempelhofer Vorstadt,17093,181,91,1408,387,395,7874,155,858,1593,368,80,29,1235,315,329,2984
023003,Nördliche Luisenstadt,31283,530,361,2426,990,525,14145,117,812,1834,432,174,61,1961,596,1651,4903
023004,Südliche Luisenstadt,25828,642,491,2093,989,422,10260,112,794,1367,314,191,65,1797,574,3251,4459
024005,Karl-Marx-Allee Nord,11722,135,91,801,205,318,6403,296,1158,984,313,78,26,1162,157,118,2734
024006,Karl-Marx-Allee Süd,27391,354,232,2388,679,443,14423,169,1282,1502,194,67,21,2130,426,1169,4632
025007,Frankfurter Allee Nord,16001,57,32,1024,231,302,7359,256,690,1664,249,96,36,1881,260,213,3441
025008,Frankfurter Allee Süd FK,21255,329,230,1836,627,331,10642,139,706,1738,296,89,39,2335,449,1325,4294
029900,"Bezirk (Fh-Kb), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
030000,Pankow,10468,82,45,680,167,250,5788,215,808,1226,299,45,18,1050,272,131,2226
031001,Buch,10460,42,21,866,231,538,5324,210,1335,671,168,133,56,1209,259,140,2124
032002,Blankenfelde/Niederschönhausen,5736,27,8,418,114,217,2803,87,608,463,311,42,11,501,84,46,1147
032003,Buchholz,5190,12,6,385,93,169,2642,122,443,292,222,12,0,542,157,52,834
033004,Karow,4272,21,16,278,43,123,2152,48,476,557,268,11,0,519,48,48,766
033005,Blankenburg/Heinersdorf/Märchenland,10279,56,7,544,132,321,5784,118,927,746,369,49,49,711,98,35,1303
034006,Schönholz/Wilhelmsruh/Rosenthal,6412,52,17,322,35,219,3554,109,627,575,385,23,0,638,115,81,1225
034007,Pankow Zentrum,10434,97,56,512,109,215,6414,159,674,1807,203,74,32,868,200,106,2010
034008,Pankow Süd,7484,78,45,484,144,222,4196,207,643,1165,216,39,30,871,168,45,1967
035009,Weißensee,8991,75,37,800,190,299,4731,184,607,736,187,43,12,1004,216,98,2304
035010,Weißensee Ost,8775,33,27,944,179,339,3863,173,858,519,239,53,13,1150,206,160,2107
036011,Prenzlauer Berg Nordwest,13873,152,88,801,248,204,7805,204,921,2065,180,44,16,1125,332,236,2850
036012,Prenzlauer Berg Nord,12160,117,49,591,136,192,7383,301,799,2061,143,26,15,1047,460,124,2287
036013,Helmholtzplatz,10559,41,14,624,181,145,6646,213,489,1633,430,32,18,968,317,86,2728
036014,Prenzlauer Berg Ost,16887,107,59,919,234,234,8927,360,1192,1358,305,40,16,2099,879,190,2661
037015,Prenzlauer Berg Südwest,14834,96,52,1252,379,223,8966,247,757,1690,745,28,8,1355,435,116,3672
037016,Prenzlauer Berg Süd,8992,41,22,451,88,155,5318,312,713,1199,432,38,19,982,218,92,2317
039900,"Bezirk (Pk), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
040000,Charlottenburg-Wilmersdorf,16496,198,105,1188,281,462,8300,237,1446,964,540,41,18,1059,238,374,3108
041001,Charlottenburg Nord,14932,252,134,1576,316,595,6273,284,2027,338,407,48,21,1201,263,847,3887
042002,Heerstraße,11421,111,71,1193,379,285,5604,427,1581,466,759,8,8,1446,577,158,2268
042003,Westend,16804,137,92,783,163,414,10066,236,1478,713,414,44,30,964,170,66,2778
043004,Schloss Charlottenburg,11979,129,31,982,240,357,5899,141,927,1071,398,31,14,1011,340,271,2674
043005,Mierendorffplatz,14415,277,108,890,263,452,5808,108,1383,479,283,27,0,789,121,830,2435
043006,Otto-Suhr-Allee/Kantstraße,21694,223,102,1358,293,584,10951,153,1057,1445,467,47,15,1203,206,444,3527
044007,Grunewald,8987,71,43,434,114,239,5112,342,1633,315,1319,33,16,705,163,81,2268
044008,Schmargendorf,6485,53,31,475,65,202,3773,121,779,776,537,28,9,478,68,68,1502
045009,Halensee,15217,139,69,951,208,508,6873,273,1290,805,562,31,23,974,200,304,2822
045010,Lietzenburger Straße,31912,397,205,2449,769,639,15538,300,1816,1064,631,69,28,1585,446,544,5108
045011,Volkspark Wilmersdorf,11577,149,96,763,156,281,5894,185,1257,1212,477,26,15,778,190,177,2125
049900,"Bezirk (Ch-Wi), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
050000,Spandau,11634,151,86,1196,272,434,5001,137,828,515,244,76,31,1074,136,241,2813
051001,Hakenfelde,6501,74,44,658,183,279,2996,144,610,275,153,74,26,715,31,140,1613
051002,Falkenhagener Feld,8037,86,30,1039,218,344,3010,78,561,415,248,71,25,840,81,147,2428
051003,Spandau Mitte,18458,284,184,1887,442,596,7920,106,989,869,158,75,29,1497,232,619,4562
052004,Brunsbütteler Damm,6856,58,45,570,156,334,3386,147,619,267,321,58,18,610,62,107,1475
052005,Heerstraße,9692,132,93,1273,239,438,3682,128,542,364,264,111,36,1041,71,103,3058
