id,district_region_name,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
010000,Mitte,81178,823,502,7717,2346,3097,34999,413,4084,4622,578,390,112,6169,1195,3317,17852
011001,Tiergarten Süd,4113,37,27,415,140,152,1574,17,195,306,28,27,7,335,48,227,894
011002,Regierungsviertel,6251,41,21,494,148,164,2809,11,172,269,32,16,4,435,121,177,1127
011003,Alexanderplatz,18999,163,99,1827,512,567,9041,50,618,852,108,69,13,1342,321,692,3803
011004,Brunnenstraße Süd,3759,64,47,313,107,124,1740,33,211,422,42,14,3,450,100,97,954
012005,Moabit West,6192,43,23,559,145,255,2105,54,376,354,48,44,14,497,72,290,1279
012006,Moabit Ost,9871,88,60,821,221,359,3698,25,222,444,70,47,13,544,103,556,1723
013007,Osloer Straße,6203,76,35,669,223,294,2896,41,366,282,54,24,12,441,67,151,1473
013008,Brunnenstraße Nord,7543,91,53,705,245,272,3163,47,418,383,50,46,16,677,185,319,1653
014009,Parkviertel,6608,65,35,724,207,341,3105,77,705,409,74,42,15,481,46,172,2070
014010,Wedding Zentrum,8553,104,63,998,328,466,3226,28,502,777,70,56,13,773,111,517,2270
019900,"Bezirk (Mi), nicht zuzuordnen",3086,51,39,192,70,103,1642,30,299,124,2,5,2,194,21,119,606
020000,Friedrichshain-Kreuzberg,54988,935,667,4931,1739,1558,24461,299,2946,4105,327,323,94,5043,1057,4599,12827
021001,Südliche  Friedrichstadt,7971,121,76,676,235,270,3439,39,613,460,39,50,11,674,99,622,1889
022002,Tempelhofer Vorstadt,9944,162,125,857,301,257,4795,55,596,993,72,97,26,1000,213,488,2134
023003,Nördliche Luisenstadt,5454,109,77,517,210,129,2579,33,338,317,26,38,15,393,48,614,1283
023004,Südliche Luisenstadt,8267,206,163,587,278,156,2693,26,523,521,41,28,6,515,81,1589,1640
024005,Karl-Marx-Allee Nord,2707,53,37,262,70,109,1338,30,148,238,32,10,5,298,39,62,859
024006,Karl-Marx-Allee Süd,6914,109,70,735,230,157,3428,24,174,418,30,25,10,496,122,405,1566
