id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
0110,32474,354,184,2573,803,549,15098,180,1351,1378,510,81,39,2359,774,752,5173
0120,15997,201,81,1269,363,398,5549,148,695,642,251,73,31,911,131,634,2684
0130,14078,249,106,1414,411,452,6524,119,850,479,478,71,24,997,171,381,3137
0140,15664,305,134,1915,629,674,5984,127,880,648,455,98,39,1279,143,763,4184
0199,7348,144,105,750,156,169,3331,46,541,211,1,31,7,634,127,319,1367
0210,7797,139,64,712,222,254,2934,50,431,305,219,46,13,693,122,334,1731
0220,9459,141,65,802,241,205,4660,82,534,857,390,56,21,837,187,300,2017
0230,8659,197,131,834,277,209,3959,54,351,617,265,56,21,827,202,500,1916
0240,8756,124,75,776,194,163,3996,102,386,460,115,35,12,899,169,161,1692
0250,11642,156,80,1094,364,225,5024,112,385,854,224,105,34,1589,377,287,2739
0299,3874,111,89,395,85,97,1477,36,293,192,1,16,4,654,254,271,906
0310,1776,15,5,151,46,43,994,28,166,189,21,17,6,203,54,32,307
0320,2556,19,6,194,36,84,1166,54,222,196,105,35,14,298,41,24,479
0330,2324,9,1,104,17,49,1298,24,226,302,74,16,7,237,43,19,271
0340,6887,68,27,446,113,162,3699,116,454,963,192,29,13,765,200,67,1537
0350,4456,50,21,381,92,141,2066,63,274,287,116,20,12,638,182,67,1092
0360,12556,152,53,749,205,249,6723,263,547,1346,305,51,20,1242,428,136,2477
0370,6170,31,17,496,122,145,3267,152,368,689,274,23,6,889,266,82,1608
0399,2587,66,36,269,56,90,1097,70,296,167,5,16,5,450,80,95,670
0410,2340,39,12,265,71,116,862,43,210,59,99,8,2,200,4,155,674
0420,4916,54,19,341,106,132,2459,87,415,212,163,14,4,415,67,55,869
0430,16022,204,67,1130,297,436,7683,162,947,1272,434,49,17,1226,262,392,2928
0440,3962,27,10,251,43,123,2176,88,576,276,334,6,2,352,61,22,832
0450,19826,274,115,1733,586,488,9345,257,1234,1198,514,49,19,1363,359,306,3755
0499,3653,45,25,504,92,132,1536,70,388,156,0,7,1,419,94,134,939
0510,10600,154,63,1245,326,486,4157,76,490,412,196,55,20,1151,158,268,3198
0520,10309,115,45,1016,254,366,4038,78,416,354,237,77,28,1337,290,116,2492
0530,3714,61,21,309,69,119,1769,58,280,165,91,14,5,383,49,54,911
0540,835,5,1,71,14,22,396,20,114,26,65,12,5,117,17,0,144
0599,1775,24,13,207,37,97,724,21,170,101,0,17,3,269,28,43,480
0610,7536,110,44,446,78,194,3877,113,544,372,215,21,9,660,173,84,1273
0620,5188,46,18,448,112,211,2209,94,424,297,185,23,8,688,146,77,1145
0630,5512,37,7,326,70,167,2900,122,524,490,239,24,10,635,131,69,984
0640,5840,59,22,377,71,178,2827,118,696,316,322,37,12,801,256,43,993
0699,1602,32,19,155,17,99,597,19,188,93,0,10,0,298,66,25,423
0710,8119,176,82,721,210,225,3870,51,395,456,291,29,11,683,149,182,1805
0720,6391,60,24,504,113,138,2676,55,280,539,219,25,11,552,176,203,1221
0730,4008,35,10,299,68,146,2071,63,292,375,122,18,6,398,107,59,795
0740,8432,88,28,560,129,321,3479,115,667,338,159,47,21,745,126,236,1574
0750,3990,54,19,346,77,140,1765,65,476,122,131,26,8,459,71,72,947
0760,5734,56,29,562,100,199,2574,124,620,235,199,47,11,721,127,131,1304
0799,2530,77,49,224,38,132,979,31,243,104,2,16,1,349,66,183,617
0810,28328,512,235,2912,935,978,12054,186,1281,915,856,163,73,2568,487,1273,7503
0820,6387,98,51,581,149,263,2662,92,738,207,237,35,15,727,120,69,1488
0830,3995,45,24,337,70,129,1909,24,182,136,67,12,1,494,78,31,1028
0840,3606,47,22,242,59,119,1604,67,428,122,227,14,5,404,62,29,651
0899,2477,65,47,296,59,105,892,25,243,73,1,18,1,365,42,176,672
0910,5517,86,44,396,112,153,2607,76,377,385,209,23,9,801,280,80,1139
