id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
01,85227,733,449,7450,1854,2068,37802,465,3654,4173,775,245,75,5528,1510,3792,14899
02,53809,632,426,4739,1587,1145,24384,356,2781,4253,632,196,60,4467,1129,4625,10262
03,36826,320,177,3109,753,1044,17761,603,2046,4260,711,197,71,3760,1082,746,7325
04,51660,417,205,4047,1011,1377,25374,681,3177,3474,933,195,92,3558,813,1024,10888
05,25853,315,184,3046,741,1059,10802,343,1680,1189,365,164,73,2194,241,584,6423
06,23668,137,63,1862,373,821,11633,334,2310,2122,663,154,57,2452,618,460,4525
07,41580,336,183,3272,795,1191,20434,419,2694,2708,746,188,73,3441,824,1386,9927
08,41681,505,286,4030,1153,1379,19562,452,3335,1849,736,241,110,3870,635,1633,10040
09,24769,216,125,2400,500,853,11145,466,1735,2139,496,176,75,2673,687,574,5337
10,23662,168,100,3060,573,968,8456,557,1324,1018,370,243,74,2822,575,485,5881
11,27604,185,110,2935,651,900,11974,621,1786,1805,468,200,75,2765,606,543,6230
12,29263,238,109,2878,665,1160,10630,374,2155,988,673,135,51,2353,399,848,6026
