id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
0110,157198.0,1056.0,699.0,10655.0,2583.0,2407.0,72424.0,509.0,4975.0,7702.0,961.0,213.0,58.0,8510.0,2888.0,4879.0,22596.0
0120,40213.0,313.0,181.0,3209.0,745.0,1012.0,14795.0,158.0,1590.0,1905.0,370.0,144.0,47.0,2206.0,404.0,2176.0,6436.0
0130,32346.0,375.0,215.0,3605.0,971.0,1225.0,13337.0,288.0,1628.0,1379.0,414.0,147.0,49.0,2563.0,727.0,1569.0,6982.0
0140,27749.0,277.0,149.0,3287.0,823.0,948.0,11445.0,224.0,1712.0,1536.0,378.0,132.0,33.0,2448.0,539.0,1194.0,6422.0
0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0210,21333.0,253.0,145.0,1656.0,474.0,528.0,9288.0,135.0,1443.0,1128.0,280.0,88.0,25.0,1421.0,275.0,1998.0,3893.0
0220,15933.0,140.0,78.0,1184.0,390.0,354.0,8934.0,138.0,1141.0,1842.0,213.0,69.0,21.0,1178.0,235.0,452.0,3195.0
0230,42552.0,713.0,521.0,3921.0,1530.0,862.0,17705.0,226.0,1719.0,3074.0,623.0,172.0,28.0,3146.0,901.0,5863.0,8061.0
0240,37130.0,401.0,282.0,3665.0,1122.0,757.0,16977.0,281.0,1772.0,2458.0,334.0,89.0,53.0,2886.0,684.0,2753.0,6904.0
0250,31656.0,257.0,163.0,3073.0,1031.0,655.0,12720.0,186.0,1080.0,2635.0,352.0,109.0,35.0,3674.0,1080.0,2477.0,6202.0
0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0310,8880.0,66.0,12.0,1075.0,222.0,433.0,3809.0,90.0,397.0,865.0,78.0,72.0,36.0,1057.0,282.0,198.0,2025.0
0320,10191.0,68.0,37.0,817.0,107.0,320.0,4588.0,235.0,743.0,1017.0,266.0,66.0,25.0,1041.0,141.0,105.0,1968.0
0330,12997.0,59.0,29.0,1033.0,237.0,379.0,6570.0,143.0,1208.0,1298.0,553.0,56.0,13.0,1404.0,297.0,148.0,2202.0
0340,22041.0,232.0,151.0,1645.0,395.0,695.0,10764.0,392.0,1506.0,2996.0,624.0,145.0,42.0,2143.0,568.0,316.0,4420.0
0350,16131.0,127.0,64.0,1662.0,392.0,624.0,7142.0,392.0,857.0,1286.0,320.0,138.0,49.0,1854.0,276.0,404.0,3776.0
0360,48727.0,466.0,214.0,4007.0,1126.0,1132.0,23122.0,635.0,1835.0,5446.0,641.0,238.0,104.0,4911.0,1972.0,1349.0,8937.0
0370,19936.0,124.0,76.0,1745.0,387.0,420.0,10281.0,290.0,1184.0,2363.0,377.0,57.0,13.0,2082.0,600.0,304.0,4243.0
0399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0410,13009.0,118.0,31.0,1433.0,432.0,550.0,5292.0,360.0,1233.0,632.0,262.0,82.0,46.0,1192.0,113.0,950.0,3704.0
0420,24809.0,232.0,155.0,2275.0,632.0,750.0,12512.0,497.0,2212.0,1326.0,954.0,99.0,60.0,1922.0,519.0,409.0,4855.0
0430,42028.0,292.0,145.0,3604.0,796.0,1309.0,20373.0,379.0,2118.0,3166.0,691.0,187.0,108.0,3054.0,668.0,749.0,9250.0
