id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
01,236547.0,1845.0,997.0,20243.0,5141.0,5943.0,101648.0,979.0,8523.0,11409.0,2249.0,805.0,280.0,17173.0,4608.0,10615.0,43619.0
02,163383.0,2283.0,1600.0,14172.0,5046.0,3318.0,69457.0,1040.0,5644.0,10574.0,1442.0,801.0,283.0,14055.0,3469.0,14881.0,34362.0
03,136373.0,972.0,579.0,12227.0,2509.0,4413.0,63954.0,2234.0,7516.0,14092.0,3424.0,803.0,287.0,16301.0,4574.0,2922.0,30368.0
04,144741.0,1231.0,573.0,12665.0,3004.0,4604.0,65440.0,1925.0,10800.0,8406.0,3867.0,756.0,439.0,12481.0,2855.0,3706.0,31819.0
05,85213.0,718.0,323.0,9214.0,2069.0,3616.0,34034.0,1507.0,4950.0,3346.0,1624.0,661.0,343.0,8075.0,915.0,1938.0,20469.0
06,65147.0,597.0,351.0,5013.0,979.0,2177.0,31625.0,1029.0,4845.0,5855.0,2044.0,538.0,179.0,7169.0,2172.0,1126.0,12722.0
07,163161.0,1396.0,761.0,13993.0,3241.0,5618.0,71912.0,1980.0,10676.0,10136.0,3249.0,918.0,396.0,15302.0,3854.0,4950.0,37293.0
08,146256.0,1610.0,848.0,14176.0,4074.0,5347.0,64796.0,1434.0,10622.0,6836.0,3352.0,818.0,436.0,13818.0,1677.0,6386.0,37166.0
09,171352.0,1115.0,635.0,16897.0,3955.0,5889.0,76309.0,3643.0,10781.0,15159.0,3162.0,1509.0,761.0,20464.0,4976.0,4502.0,40349.0
10,72146.0,722.0,444.0,9386.0,1807.0,2881.0,26588.0,1768.0,4081.0,2740.0,1159.0,770.0,294.0,8436.0,1505.0,1654.0,18659.0
11,124349.0,1149.0,697.0,13576.0,3146.0,4154.0,54226.0,2791.0,7471.0,8521.0,1909.0,997.0,425.0,13837.0,2763.0,2794.0,30252.0
12,124298.0,1059.0,546.0,11775.0,2999.0,4930.0,43550.0,1313.0,7016.0,4261.0,2909.0,651.0,270.0,10260.0,2062.0,3827.0,25825.0
