id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
0110,127132.0,977.0,604.0,9800.0,2697.0,3953.0,53056.0,399.0,4215.0,6248.0,835.0,358.0,87.0,9171.0,2376.0,4027.0,23483.0
0120,36740.0,288.0,149.0,3032.0,783.0,953.0,12909.0,145.0,1141.0,1756.0,481.0,239.0,75.0,2752.0,403.0,1896.0,7224.0
0130,32620.0,311.0,167.0,3621.0,1077.0,1124.0,13155.0,234.0,1770.0,1381.0,321.0,205.0,62.0,3214.0,1061.0,1851.0,7564.0
0140,26835.0,308.0,173.0,3148.0,884.0,1071.0,10148.0,178.0,1776.0,961.0,371.0,130.0,58.0,2447.0,452.0,1493.0,6477.0
0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0210,22333.0,348.0,153.0,1807.0,575.0,620.0,9349.0,64.0,1370.0,975.0,222.0,212.0,69.0,1814.0,328.0,1684.0,4192.0
0220,16918.0,191.0,109.0,1307.0,387.0,401.0,8046.0,81.0,1068.0,1629.0,184.0,81.0,23.0,1337.0,338.0,1040.0,3046.0
0230,52304.0,835.0,567.0,4532.0,1919.0,1030.0,20874.0,195.0,2465.0,3185.0,509.0,261.0,97.0,3873.0,649.0,9563.0,9755.0
0240,38440.0,413.0,260.0,3680.0,957.0,803.0,17259.0,200.0,1468.0,2285.0,235.0,152.0,35.0,3515.0,751.0,2694.0,8507.0
0250,29343.0,243.0,148.0,2431.0,734.0,567.0,11358.0,169.0,806.0,2154.0,275.0,292.0,75.0,4955.0,1146.0,2684.0,7368.0
0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0310,11141.0,112.0,53.0,1273.0,296.0,420.0,4777.0,71.0,509.0,527.0,77.0,89.0,36.0,1308.0,444.0,272.0,2338.0
0320,9928.0,83.0,32.0,852.0,135.0,400.0,4469.0,153.0,756.0,881.0,341.0,49.0,15.0,992.0,139.0,128.0,2087.0
0330,12944.0,38.0,31.0,1067.0,176.0,472.0,5493.0,104.0,749.0,945.0,456.0,44.0,18.0,1462.0,369.0,236.0,2166.0
0340,20448.0,164.0,82.0,1727.0,380.0,739.0,9954.0,233.0,1356.0,2405.0,486.0,110.0,43.0,2418.0,656.0,424.0,4463.0
