id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,25325,231,172,2026,554,904,9799,79,1339,1551,158,79,26,1702,290,1320,6295
011002,46049,255,139,3131,858,1222,15711,54,1214,1902,124,31,23,3039,835,1330,7817
011003,26687,261,157,2394,769,735,10793,69,1051,1259,130,95,22,2197,535,1451,5454
011004,10867,134,74,828,201,268,4727,61,764,1157,102,99,48,1368,326,403,2148
012005,13223,105,64,1243,370,498,4193,85,658,851,151,110,28,1243,217,1142,2957
012006,22959,156,91,1754,437,670,7651,74,622,1050,173,108,36,1387,183,1334,4280
013007,14759,206,114,1668,517,639,6032,132,900,578,114,71,29,1262,259,562,3513
013008,15793,183,97,1764,608,568,5964,148,911,664,160,94,25,1616,524,845,3849
014009,12099,123,68,1384,397,648,4615,86,1029,513,119,86,18,1093,99,434,3063
014010,13683,225,134,1587,517,683,4787,54,776,729,86,77,21,1239,288,1005,3582
019900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
021001,22238,329,168,1653,643,606,8741,79,1601,1005,141,198,69,1747,282,2299,4330
022002,15406,175,108,1214,402,444,7101,102,1273,1126,94,79,39,1410,271,770,3260
023003,22392,403,251,1873,654,565,10343,74,1878,1278,177,192,98,1971,334,2379,4439
023004,29902,614,464,1869,846,457,9906,37,2565,1839,139,154,52,1918,375,5921,5123
024005,10373,113,77,898,198,372,4800,65,656,834,105,73,24,1291,210,255,2501
024006,22998,237,144,1913,575,607,9401,78,774,1287,70,82,31,1874,408,1505,4273
025007,12911,83,42,1103,353,401,5148,71,375,814,106,192,51,2048,455,346,3087
025008,13345,132,73,1246,326,393,4936,49,473,1001,74,82,22,2051,562,1108,3084
029900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
031001,12255,108,54,1228,355,512,4944,24,536,638,163,132,18,1259,331,211,2379
032002,5750,42,21,344,91,217,2472,88,294,466,158,67,21,722,81,98,1178
032003,4530,27,0,418,65,184,1877,65,282,304,190,22,11,581,65,54,1004
033004,4640,20,20,364,82,174,2115,26,159,661,179,36,10,497,56,72,860
033005,9235,64,19,699,197,279,3804,114,406,534,311,64,32,883,222,102,1404
034006,5791,37,16,496,133,272,2573,128,416,422,278,85,11,753,160,123,1116
034007,8789,73,57,647,154,307,4358,100,348,1108,102,57,13,984,243,102,2089
034008,6966,72,53,541,125,262,3232,72,482,936,92,47,20,833,223,145,1496
035009,7818,46,28,780,211,407,3506,71,546,559,86,53,23,1024,287,191,2078
035010,8627,50,13,984,213,495,3552,69,852,514,138,94,44,871,144,263,2418
036011,12229,212,152,1183,413,394,6063,97,603,1451,93,63,26,1279,465,673,3292
036012,9226,37,26,558,136,348,5209,77,675,1566,77,33,22,935,293,238,2014
036013,10527,58,31,822,204,258,5019,22,373,1600,147,44,22,1458,587,360,2338
036014,15105,198,129,1304,397,411,7235,125,1039,1054,114,110,48,1807,657,364,2864
037015,11232,125,99,947,253,294,5574,81,565,1141,117,44,26,1365,418,323,2679
037016,7526,54,33,571,158,218,3543,90,589,1052,105,27,12,1085,379,173,1984
039900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
041001,13097,62,42,1411,296,773,3689,156,1411,327,228,156,47,1178,166,1697,2952
042002,9300,86,62,879,249,272,3440,257,996,358,405,109,70,1510,545,163,2062
042003,11046,81,35,720,148,520,5105,162,1184,836,249,46,21,956,141,186,2210
043004,11431,115,70,852,190,480,4401,166,922,1029,138,40,16,1385,377,278,2592
043005,11752,84,78,908,227,396,4605,156,1116,824,123,78,52,1044,188,344,2387
043006,15920,129,71,1273,313,543,7481,107,1008,1012,194,79,28,1232,248,337,3368
044007,9694,30,25,682,116,490,3976,177,1349,515,369,66,25,1323,389,121,2602
