id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
01,201444.0,1879.0,1110.0,17779.0,5228.0,6835.0,74272.0,842.0,9264.0,10254.0,1317.0,850.0,276.0,16146.0,3556.0,9826.0,42958.0
02,149565.0,2086.0,1327.0,11769.0,3997.0,3845.0,60376.0,555.0,9595.0,9184.0,906.0,1052.0,386.0,14310.0,2897.0,14583.0,30097.0
03,140246.0,1223.0,751.0,11886.0,3187.0,5032.0,65076.0,1249.0,8165.0,14006.0,2350.0,978.0,359.0,16336.0,4611.0,3492.0,31193.0
04,145590.0,986.0,585.0,10688.0,2606.0,5274.0,57488.0,1832.0,13642.0,8214.0,2436.0,807.0,363.0,12999.0,2985.0,4698.0,30092.0
05,86339.0,703.0,395.0,8721.0,2042.0,4453.0,33051.0,1085.0,7178.0,2557.0,1201.0,726.0,363.0,8362.0,998.0,2070.0,20994.0
06,66439.0,414.0,213.0,5089.0,1057.0,2393.0,25756.0,879.0,3857.0,3914.0,1473.0,396.0,161.0,7300.0,1890.0,1407.0,13409.0
07,145634.0,1069.0,533.0,12046.0,2597.0,5518.0,61776.0,1837.0,11146.0,8169.0,1679.0,770.0,255.0,14622.0,3230.0,5342.0,34003.0
08,139536.0,1342.0,691.0,13348.0,4034.0,6085.0,58860.0,1555.0,15036.0,6105.0,1789.0,1016.0,419.0,14542.0,1655.0,6672.0,35685.0
09,168168.0,1093.0,578.0,15485.0,3444.0,7216.0,72738.0,2084.0,9798.0,14583.0,2594.0,1044.0,402.0,20506.0,5062.0,4552.0,38269.0
10,69278.0,717.0,515.0,8284.0,1742.0,3760.0,25079.0,1019.0,4761.0,2742.0,780.0,545.0,163.0,9041.0,1570.0,1565.0,18716.0
11,121534.0,869.0,510.0,12464.0,2722.0,4915.0,47304.0,1771.0,8060.0,6875.0,1135.0,1035.0,385.0,15597.0,3434.0,3304.0,28973.0
12,108182.0,924.0,465.0,11061.0,2676.0,5388.0,38429.0,918.0,7233.0,3787.0,1326.0,726.0,269.0,10214.0,1379.0,3267.0,25971.0
