id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
0110,33122,305,194,3049,907,1007,15164,111,1196,1849,210,126,27,2562,590,1193,6778
0120,16063,131,83,1380,366,614,5803,79,598,798,118,91,27,1041,175,846,3002
0130,13746,167,88,1374,468,566,6059,88,784,665,104,70,28,1118,252,470,3126
0140,15161,169,98,1722,535,807,6331,105,1207,1186,144,98,28,1254,157,689,4340
0199,3086,51,39,192,70,103,1642,30,299,124,2,5,2,194,21,119,606
0210,7971,121,76,676,235,270,3439,39,613,460,39,50,11,674,99,622,1889
0220,9944,162,125,857,301,257,4795,55,596,993,72,97,26,1000,213,488,2134
0230,13721,315,240,1104,488,285,5272,59,861,838,67,66,21,908,129,2203,2923
0240,9621,162,107,997,300,266,4766,54,322,656,62,35,15,794,161,467,2425
0250,11897,128,80,1176,372,443,5084,81,405,1050,87,74,21,1580,448,737,2870
0299,1834,47,39,121,43,37,1105,11,149,108,0,1,0,87,7,82,586
0310,2503,31,18,313,80,112,1174,16,198,151,23,29,15,286,58,31,574
0320,2524,14,9,187,34,106,1197,64,195,244,80,30,10,236,34,26,444
0330,2880,16,11,221,57,126,1291,31,191,207,122,20,4,268,51,39,468
0340,6981,89,67,560,155,272,3472,119,463,756,144,46,16,735,154,92,1569
0350,4688,39,27,453,122,231,2203,97,295,428,71,40,16,591,129,94,1180
0360,13415,181,141,1125,359,391,7339,128,707,1471,136,70,16,1413,403,354,3246
0370,5930,68,58,539,172,188,3009,83,377,757,52,30,8,735,185,104,1549
0399,1199,22,20,65,20,58,657,22,138,109,1,10,4,84,18,10,218
0410,2710,24,12,273,60,256,714,72,216,41,35,20,5,211,14,338,739
0420,5052,29,19,459,107,313,2096,88,463,212,122,39,10,507,100,92,1244
0430,13639,137,85,1135,272,521,6393,157,899,1107,175,88,32,1284,308,327,2826
0440,4349,42,25,289,64,196,2148,117,694,327,148,25,12,492,97,53,1140
0450,21394,162,90,1448,374,671,8760,175,1523,1103,255,68,15,1391,293,470,3984
0499,1714,22,20,90,25,101,1042,19,209,64,1,9,4,80,11,55,353
0510,11383,132,88,1340,329,662,4718,153,988,338,214,79,32,1030,76,316,3544
0520,9806,88,53,1058,237,467,3721,104,738,295,191,141,69,904,143,159,2319
0530,3468,31,12,358,73,199,1384,75,427,155,41,25,8,364,54,64,826
0540,831,7,5,68,16,53,303,10,53,53,28,12,7,75,4,7,164
0599,854,14,12,58,23,34,424,16,167,26,0,9,5,72,6,13,219
0610,6080,59,41,441,85,272,3034,122,323,465,91,29,9,484,78,105,1345
0620,5405,28,14,610,96,282,2272,102,399,276,146,50,12,601,73,118,1539
0630,5688,32,18,479,84,251,2598,153,319,420,181,34,12,551,75,84,1299
0640,5928,42,27,385,79,200,2571,105,443,447,244,42,25,957,354,125,1128
0699,656,6,6,20,5,27,383,17,87,93,0,3,2,79,7,26,160
0710,9078,100,68,794,213,308,4817,33,528,748,92,37,4,670,109,356,2379
0720,7559,46,34,645,140,222,3310,57,331,618,62,27,10,713,227,206,1714
0730,3816,34,22,275,40,201,1881,89,317,346,61,31,7,438,103,62,1012
0740,8101,63,35,708,142,394,3642,128,694,426,62,35,8,770,201,254,2098
0750,4480,34,23,435,79,242,1983,84,357,166,81,19,8,356,32,73,1119
0760,5335,37,27,625,121,331,2127,109,434,138,99,42,15,683,66,113,1441
0799,921,18,18,85,18,54,467,17,106,63,1,3,2,68,5,16,233
0810,27597,297,164,2503,799,915,12783,150,2792,1772,229,180,74,2281,263,1741,5765
0820,6465,75,42,798,188,379,2488,136,783,175,115,66,35,633,63,113,1724
0830,3798,59,37,492,115,197,1669,70,313,71,38,54,12,447,51,48,1153
0840,3746,41,20,388,86,219,1507,131,373,90,132,31,6,325,24,55,949
0899,1184,21,16,52,24,39,757,16,181,48,1,3,1,53,1,29,290
0910,6884,104,73,611,169,318,3251,138,585,582,127,45,18,712,106,236,1694
0920,8360,47,27,814,197,377,3693,121,531,559,80,64,23,1098,269,157,2002
0930,4268,26,8,428,86,220,1899,74,314,211,112,20,3,527,132,58,1030
0940,2195,17,12,261,51,125,848,43,112,107,38,31,16,264,33,54,598
0950,4145,40,26,381,107,177,1835,53,215,387,72,35,11,493,120,103,924
0999,991,10,10,79,26,37,574,30,151,71,0,14,11,101,14,21,234
1010,12081,99,59,1462,319,573,5200,227,1049,387,149,103,30,1225,147,187,3546
1020,8149,108,77,1171,246,468,3206,109,593,311,72,99,29,1068,196,170,2670
1030,2482,15,9,172,31,114,1381,39,179,186,78,18,2,201,29,29,454
1040,2911,29,16,231,41,122,1331,54,259,170,124,24,8,326,78,39,532
1099,607,12,11,39,15,31,322,9,76,45,0,4,2,75,12,9,139
1110,4887,63,50,670,179,309,1818,56,339,101,84,67,22,622,81,113,1547
1120,4811,54,39,520,125,213,2202,126,462,182,111,32,15,414,69,75,1279
1130,10558,90,60,985,241,319,5152,198,799,486,129,94,31,1111,300,199,2470
1140,6533,66,48,694,148,274,3002,109,455,484,74,39,10,770,191,129,1649
1150,1990,16,11,159,33,85,1072,43,112,271,73,9,2,186,42,30,463
1199,1026,6,6,36,7,19,722,15,131,41,0,5,0,51,7,10,199
