id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
0110,118877.0,1089.0,636.0,10403.0,2729.0,4572.0,56524.0,421.0,4894.0,5920.0,909.0,302.0,82.0,8918.0,1650.0,3944.0,24338.0
0120,37636.0,269.0,161.0,3421.0,862.0,1587.0,14124.0,146.0,1934.0,1247.0,368.0,243.0,108.0,2590.0,331.0,1679.0,7829.0
0130,33611.0,412.0,194.0,3804.0,1121.0,1742.0,14854.0,271.0,2224.0,1926.0,423.0,249.0,63.0,2797.0,486.0,1233.0,8925.0
0140,31448.0,433.0,271.0,3203.0,983.0,1462.0,14858.0,230.0,2900.0,2353.0,380.0,201.0,67.0,2306.0,272.0,1326.0,8686.0
0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0210,20540.0,251.0,138.0,2099.0,736.0,840.0,8351.0,142.0,1732.0,1206.0,135.0,152.0,31.0,1824.0,222.0,1728.0,4488.0
0220,15973.0,197.0,109.0,1460.0,438.0,595.0,8341.0,136.0,1476.0,1602.0,136.0,123.0,39.0,1204.0,193.0,592.0,3189.0
0230,56486.0,1410.0,1016.0,4681.0,2041.0,2407.0,23496.0,315.0,4189.0,3657.0,419.0,192.0,79.0,4033.0,458.0,8384.0,12186.0
0240,35774.0,549.0,391.0,3940.0,1073.0,1306.0,17022.0,343.0,1494.0,2042.0,406.0,163.0,31.0,3066.0,528.0,1621.0,9464.0
0250,27919.0,325.0,180.0,2986.0,907.0,1071.0,12785.0,159.0,963.0,2275.0,307.0,137.0,43.0,3274.0,680.0,1520.0,6883.0
0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0310,12079.0,90.0,79.0,1695.0,451.0,743.0,4668.0,79.0,648.0,417.0,107.0,118.0,68.0,1695.0,259.0,197.0,3525.0
0320,11527.0,115.0,79.0,984.0,239.0,648.0,4743.0,239.0,860.0,855.0,333.0,127.0,46.0,1686.0,142.0,86.0,2710.0
0330,14548.0,119.0,73.0,1440.0,362.0,684.0,6402.0,179.0,1030.0,974.0,518.0,112.0,27.0,1702.0,304.0,188.0,3093.0
0340,20707.0,336.0,222.0,1894.0,432.0,1009.0,9655.0,388.0,1683.0,2018.0,509.0,167.0,93.0,2181.0,312.0,278.0,4974.0
0350,18377.0,239.0,189.0,1892.0,466.0,1014.0,8389.0,300.0,1334.0,1409.0,308.0,118.0,62.0,2269.0,239.0,429.0,5898.0
0360,47130.0,706.0,516.0,4309.0,1215.0,1963.0,24539.0,502.0,2628.0,4738.0,655.0,349.0,83.0,5381.0,1589.0,1540.0,11355.0
0370,20441.0,245.0,190.0,2354.0,610.0,948.0,9266.0,250.0,901.0,2093.0,239.0,94.0,15.0,2307.0,574.0,643.0,5608.0
0399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0410,17128.0,144.0,98.0,1532.0,457.0,1249.0,5875.0,468.0,1753.0,195.0,278.0,108.0,21.0,961.0,15.0,1969.0,4015.0
0420,24376.0,247.0,165.0,2661.0,719.0,1502.0,10036.0,683.0,2391.0,947.0,767.0,170.0,60.0,2887.0,690.0,541.0,6628.0
0430,40314.0,384.0,222.0,3449.0,859.0,1897.0,19197.0,528.0,3400.0,2537.0,657.0,251.0,71.0,3585.0,739.0,980.0,9303.0
0440,18363.0,111.0,82.0,1439.0,288.0,1091.0,8039.0,607.0,2351.0,1185.0,857.0,138.0,61.0,2302.0,518.0,290.0,4760.0
0450,62103.0,515.0,287.0,4190.0,966.0,2117.0,29553.0,782.0,6227.0,3030.0,941.0,168.0,52.0,3763.0,609.0,1207.0,13261.0
0499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0510,28141.0,268.0,169.0,3383.0,808.0,1767.0,11395.0,489.0,1943.0,997.0,487.0,343.0,162.0,2695.0,190.0,984.0,8049.0
0520,29859.0,301.0,145.0,3313.0,736.0,1522.0,11637.0,606.0,2193.0,628.0,600.0,316.0,128.0,2720.0,343.0,584.0,7081.0
0530,22842.0,175.0,100.0,2153.0,425.0,1077.0,9562.0,794.0,2618.0,789.0,461.0,144.0,30.0,1976.0,244.0,397.0,5061.0
0540,4041.0,20.0,10.0,393.0,85.0,204.0,1632.0,80.0,294.0,174.0,164.0,60.0,30.0,587.0,10.0,25.0,916.0
0599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610,21603.0,248.0,159.0,1691.0,377.0,873.0,11674.0,368.0,1244.0,1499.0,398.0,53.0,11.0,1532.0,187.0,433.0,4344.0
0620,12662.0,76.0,29.0,1373.0,295.0,710.0,5151.0,510.0,943.0,758.0,531.0,108.0,34.0,1359.0,157.0,220.0,3136.0
0630,13115.0,120.0,79.0,1149.0,200.0,612.0,6177.0,382.0,1057.0,909.0,552.0,79.0,23.0,1487.0,100.0,224.0,3209.0
0640,18062.0,149.0,93.0,1228.0,266.0,642.0,7972.0,405.0,1374.0,1228.0,1047.0,154.0,70.0,2979.0,1038.0,234.0,3792.0
0699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0710,40946.0,481.0,271.0,3281.0,908.0,1425.0,22747.0,239.0,2656.0,3113.0,487.0,123.0,40.0,2884.0,375.0,1666.0,11116.0
0720,27005.0,225.0,168.0,2374.0,671.0,1077.0,12374.0,220.0,2133.0,2216.0,373.0,97.0,41.0,2406.0,594.0,929.0,6074.0
0730,16384.0,86.0,64.0,1380.0,210.0,826.0,8451.0,444.0,1541.0,1726.0,403.0,117.0,40.0,1721.0,414.0,363.0,3840.0
0740,43013.0,230.0,95.0,3809.0,922.0,2088.0,17765.0,1085.0,4384.0,1902.0,462.0,370.0,119.0,3540.0,683.0,2010.0,9165.0
0750,17270.0,86.0,48.0,1871.0,488.0,970.0,7511.0,526.0,1712.0,658.0,514.0,103.0,35.0,1506.0,140.0,313.0,4469.0
0760,25601.0,179.0,104.0,3354.0,673.0,1648.0,9740.0,893.0,2144.0,917.0,865.0,250.0,94.0,2801.0,309.0,484.0,7059.0
0799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0810,88002.0,942.0,499.0,8187.0,2735.0,2826.0,42837.0,744.0,10216.0,4726.0,836.0,806.0,297.0,8261.0,708.0,4777.0,18545.0
0820,29394.0,260.0,148.0,3421.0,825.0,1867.0,11977.0,809.0,3859.0,881.0,679.0,260.0,144.0,2909.0,219.0,468.0,7759.0
0830,19687.0,274.0,187.0,2623.0,649.0,1226.0,8474.0,419.0,1701.0,430.0,581.0,268.0,47.0,2412.0,228.0,321.0,5941.0
0840,19236.0,200.0,122.0,2188.0,556.0,1062.0,7732.0,639.0,2238.0,458.0,544.0,314.0,121.0,1568.0,78.0,165.0,4676.0
0899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0910,43452.0,459.0,262.0,3963.0,1017.0,2419.0,22449.0,1128.0,5128.0,3824.0,1127.0,182.0,79.0,4396.0,613.0,1791.0,11823.0
0920,45147.0,342.0,147.0,4973.0,1147.0,2326.0,18961.0,921.0,2687.0,3322.0,741.0,443.0,137.0,6680.0,1282.0,1010.0,12193.0
0930,29680.0,145.0,92.0,3359.0,790.0,1659.0,13526.0,926.0,3470.0,1839.0,805.0,268.0,98.0,3561.0,697.0,568.0,7374.0
0940,22200.0,124.0,72.0,3020.0,670.0,1279.0,8343.0,693.0,1091.0,1753.0,484.0,128.0,81.0,2770.0,440.0,407.0,6425.0
0950,30080.0,303.0,191.0,3206.0,820.0,1134.0,14677.0,476.0,1883.0,3611.0,579.0,255.0,75.0,3138.0,682.0,575.0,6453.0
0999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010,32494.0,400.0,211.0,4401.0,926.0,1813.0,12992.0,1095.0,3056.0,762.0,559.0,472.0,162.0,3595.0,496.0,538.0,9808.0
1020,26268.0,354.0,194.0,3929.0,650.0,1751.0,10618.0,664.0,1568.0,1042.0,468.0,329.0,94.0,2953.0,462.0,432.0,10258.0
1030,8193.0,65.0,42.0,823.0,178.0,366.0,4100.0,181.0,450.0,583.0,311.0,55.0,10.0,693.0,74.0,100.0,1716.0
1040,10420.0,112.0,67.0,867.0,147.0,409.0,4792.0,276.0,733.0,552.0,819.0,71.0,12.0,1343.0,199.0,184.0,2096.0
